NLP/NLP131+1.p, Sat,7, v3si,340.54, Sat, v4si,474.28, Sat
SWB/SWB008+3.p, not goal,3, v3si,3.01, Unsat, v4si,3.02, Unsat
SYO/SYO825+1.p, not goal,15, v3si,1.06, Unsat, v4si,1.07, Unsat
LCL/LCL657+1.001.p, Sat,138, v3si,317.2, Sat, v4si,316.41, Sat
SYO/SYO704+1.p, not goal,15, v3si,2.6, Unsat, v4si,2.15, Unsat
NLP/NLP152+1.p, Sat,7, v3si,202.71, Sat, v4si,182.39, Sat
PHI/PHI024+1.p, Sat,76, v3si,744.4, Sat, v4si,667.23, Sat
PUZ/PUZ066+1.p, Sat,231, v3si,779.13, Sat, v4si,747.73, Sat
SYO/SYO800+1.p, not goal,15, v3si,689.66, Unsat, v4si,672.78, Unsat
CSR/CSR156+1.p, not goal,3, v3si,335.69, Unsat, v4si,276.61, Unsat
COM/COM014+1.p, Sat,11, v3si,229.3, Sat, v4si,264.76, Sat
LCL/LCL651+1.001.p, Sat,22, v3si,538.6, Sat, v4si,562.92, Sat
NLP/NLP255+1.p, not goal,1, v3si,1.1, Unsat, v4si,1.11, Unsat
LCL/LCL675+1.015.p, not goal,7, v3si,2.03, Unsat, v4si,1.85, Unsat
COL/COL129+1.p, not goal,7, v3si,54.28, Unsat, v4si,9.53, Unsat
LCL/LCL651+1.015.p, not goal,1, v3si,2.3, Unsat, v4si,2.21, Unsat
NLP/NLP128+1.p, Sat,61, v3si,413.95, Sat, v4si,400.51, Sat
SYO/SYO753+1.p, not goal,15, v3si,1.77, Unsat, v4si,1.5, Unsat
LCL/LCL671+1.010.p, not goal,1, v3si,1.3, Unsat, v4si,1.27, Unsat
LAT/LAT383+1.p, Sat,13, v3si,185.37, Sat, v4si,247.26, Sat
NLP/NLP111+1.p, Sat,30, v3si,628.11, Sat, v4si,1034.67, Sat
NLP/NLP050+1.p, not goal,3, v3si,1.38, Unsat, v4si,1.36, Unsat
SYN/SYN322+1.p, Sat,508, v3si,201.8, Sat, v4si,199.96, Sat
NLP/NLP067+1.p, no scope finishes in time range,24, v3si,94.8, Sat, v4si,234.73, Sat
NUM/NUM437+1.p, Sat,8, v3si,335.27, Sat, v4si,403.91, Sat
KRS/KRS024+1.p, no scope finishes in time range,1001, v3si,1.84, Sat, v4si,1.88, Sat
NLP/NLP209+1.p, Sat,9, v3si,412.03, Sat, v4si,410.84, Sat
NLP/NLP215+1.p, not goal,3, v3si,382.17, Unsat, v4si,385.84, Unsat
