NLP/NLP131+1.p, Sat,7, v3si,340.54, Sat, v4si,474.28, Sat
LCL/LCL657+1.001.p, Sat,138, v3si,317.2, Sat, v4si,316.41, Sat
NLP/NLP152+1.p, Sat,7, v3si,202.71, Sat, v4si,182.39, Sat
PHI/PHI024+1.p, Sat,76, v3si,744.4, Sat, v4si,667.23, Sat
COM/COM014+1.p, Sat,11, v3si,229.3, Sat, v4si,264.76, Sat
LCL/LCL651+1.001.p, Sat,22, v3si,538.6, Sat, v4si,562.92, Sat
NLP/NLP128+1.p, Sat,61, v3si,413.95, Sat, v4si,400.51, Sat
LAT/LAT383+1.p, Sat,13, v3si,185.37, Sat, v4si,247.26, Sat
NLP/NLP111+1.p, Sat,30, v3si,628.11, Sat, v4si,1034.67, Sat
SYN/SYN322+1.p, Sat,508, v3si,201.8, Sat, v4si,199.96, Sat
NUM/NUM437+1.p, Sat,8, v3si,335.27, Sat, v4si,403.91, Sat
PHI/PHI037+1.p, Sat,200, v3si,418.73, Sat, v4si,429.6, Sat
KRS/KRS028+1.p, Sat,76, v3si,209.01, Sat, v4si,200.44, Sat
LCL/LCL659+1.005.p, Sat,11, v3si,274.66, Sat, v4si,277.16, Sat
SYN/SYN335+1.p, Sat,30, v3si,895.1, Sat, v4si,892.58, Sat
NLP/NLP146+1.p, Sat,9, v3si,541.11, Sat, v4si,300.01, Sat
NLP/NLP156+1.p, Sat,7, v3si,210.36, Sat, v4si,237.3, Sat
KLE/KLE176+1.p, Sat,10, v3si,424.12, Sat, v4si,418.71, Sat
KRS/KRS043+1.p, Sat,53, v3si,564.33, Sat, v4si,651.2, Sat
MED/MED012+1.p, Sat,30, v3si,205.86, Sat, v4si,214.18, Sat
NLP/NLP176+1.p, Sat,9, v3si,505.8, Sat, v4si,282.34, Sat
SWB/SWB026+4.p, Sat,23, v3si,717, Sat, v4si,697.9, Sat
NLP/NLP048+1.p, Sat,7, v3si,259.59, Sat, v4si,313.24, Sat
NLP/NLP135+1.p, Sat,7, v3si,365.22, Sat, v4si,461.31, Sat
NLP/NLP047+1.p, Sat,7, v3si,318.69, Sat, v4si,327.05, Sat
SYN/SYN527+1.p, Sat,385, v3si,430.84, Sat, v4si,445.35, Sat
KLE/KLE173+1.p, Sat,10, v3si,379.42, Sat, v4si,380.46, Sat
LCL/LCL661+1.020.p, Sat,11, v3si,831.17, Sat, v4si,837.66, Sat
PHI/PHI040+1.p, Sat,76, v3si,734.34, Sat, v4si,693.97, Sat
NLP/NLP177+1.p, Sat,9, v3si,355.02, Sat, v4si,419.17, Sat
SYN/SYN513+1.p, Sat,138, v3si,231.39, Sat, v4si,244.63, Sat
SWW/SWW929+1.p, Sat,4, v3si,867.3, Sat, v4si,873.97, Sat
GRA/GRA016+1.p, Sat,38, v3si,736.07, Sat, v4si,338.35, Sat
LCL/LCL683+1.015.p, Sat,2, v3si,239.64, Sat, v4si,252.92, Sat
SYN/SYN540+1.p, Sat,200, v3si,1014.74, Sat, v4si,767.08, Sat
SYN/SYN529+1.p, Sat,385, v3si,818.13, Sat, v4si,830.83, Sat
LCL/LCL677+1.005.p, Sat,38, v3si,722.32, Sat, v4si,755.3, Sat
NLP/NLP032+1.p, Sat,7, v3si,1100.33, Sat, v4si,757.51, Sat
SYN/SYN514+1.p, Sat,107, v3si,675.24, Sat, v4si,406.4, Sat
SYN/SYN518+1.p, Sat,107, v3si,559.47, Sat, v4si,439.92, Sat
LCL/LCL673+1.001.p, Sat,61, v3si,743.29, Sat, v4si,771.72, Sat
NLP/NLP120+1.p, Sat,9, v3si,294.58, Sat, v4si,291.5, Sat
GEO/GEO254+3.p, Sat,15, v3si,219.6, Sat, v4si,248.28, Sat
LCL/LCL669+1.001.p, Sat,9, v3si,554.45, Sat, v4si,550.41, Sat
PHI/PHI017+1.p, Sat,76, v3si,737.52, Sat, v4si,712.23, Sat
LCL/LCL685+1.010.p, Sat,7, v3si,257.7, Sat, v4si,262.22, Sat
SWB/SWB035+1.p, Sat,23, v3si,716.1, Sat, v4si,696.28, Sat
SYO/SYO641+1.p, Sat,76, v3si,798.23, Sat, v4si,792.6, Sat
LCL/LCL661+1.015.p, Sat,15, v3si,252.59, Sat, v4si,253.61, Sat
PRD/PRD002+1.p, Sat,38, v3si,651.46, Sat, v4si,654.75, Sat
PHI/PHI020+1.p, Sat,76, v3si,742.03, Sat, v4si,669.38, Sat
SWW/SWW865+1.p, Sat,4, v3si,1044.78, Sat, v4si,235.47, Sat
KRS/KRS037+1.p, Sat,61, v3si,504.19, Sat, v4si,462.97, Sat
PLA/PLA024+1.p, Sat,22, v3si,470.32, Sat, v4si,321.78, Sat
SWB/SWB023+4.p, Sat,23, v3si,710.79, Sat, v4si,694.18, Sat
SYN/SYN547+1.p, Sat,107, v3si,398.3, Sat, v4si,356.06, Sat
NLP/NLP130+1.p, Sat,7, v3si,371.7, Sat, v4si,476.24, Sat
SYN/SYN520+1.p, Sat,138, v3si,541.29, Sat, v4si,283.27, Sat
LCL/LCL665+1.015.p, Sat,2, v3si,290.25, Sat, v4si,276.59, Sat
SYN/SYN414+1.p, Sat,76, v3si,379.53, Sat, v4si,389.04, Sat
SYN/SYN519+1.p, Sat,61, v3si,571.23, Sat, v4si,264.23, Sat
PHI/PHI016+1.p, Sat,76, v3si,746.3, Sat, v4si,623.47, Sat
PLA/PLA027+1.p, Sat,22, v3si,467.91, Sat, v4si,650.15, Sat
