NLP/NLP131+1.p, Sat
SWB/SWB008+3.p, Sat
SYO/SYO825+1.p, Sat
LCL/LCL657+1.001.p, Sat
SYO/SYO704+1.p, Sat
NLP/NLP152+1.p, Sat
PHI/PHI024+1.p, Sat
PUZ/PUZ066+1.p, Sat
SYO/SYO800+1.p, Sat
CSR/CSR156+1.p, Sat
COM/COM014+1.p, Sat
LCL/LCL651+1.001.p, Sat
NLP/NLP255+1.p, Sat
LCL/LCL675+1.015.p, Sat
COL/COL129+1.p, Sat
KRS/KRS240+1.p, Sat
LCL/LCL651+1.015.p, Sat
NLP/NLP128+1.p, Sat
SYO/SYO753+1.p, Sat
LCL/LCL671+1.010.p, Sat
LAT/LAT383+1.p, Sat
NLP/NLP111+1.p, Sat
NLP/NLP050+1.p, Sat
SYN/SYN322+1.p, Sat
NLP/NLP067+1.p, Sat
NUM/NUM437+1.p, Sat
KRS/KRS024+1.p, Sat
NLP/NLP209+1.p, Sat
NLP/NLP215+1.p, Sat
KRS/KRS250+1.p, Sat
HWV/HWV076+1.p, Sat
PHI/PHI037+1.p, Sat
KRS/KRS028+1.p, Sat
LCL/LCL659+1.005.p, Sat
SYO/SYO727+1.p, Sat
LCL/LCL645+1.015.p, Sat
SEU/SEU260+1.p, Sat
LCL/LCL653+1.020.p, Sat
SYN/SYN335+1.p, Sat
NLP/NLP146+1.p, Sat
NLP/NLP024+1.p, Sat
NLP/NLP156+1.p, Sat
KRS/KRS184+1.p, Sat
KLE/KLE176+1.p, Sat
NUM/NUM367+1.p, Sat
COM/COM150+1.p, Sat
COM/COM151+1.p, Sat
KRS/KRS043+1.p, Sat
LCL/LCL911+1.p, Sat
MED/MED012+1.p, Sat
CSR/CSR194+1.p, Sat
NLP/NLP176+1.p, Sat
SWB/SWB026+4.p, Sat
NLP/NLP048+1.p, Sat
NLP/NLP135+1.p, Sat
NLP/NLP047+1.p, Sat
SYN/SYN527+1.p, Sat
KLE/KLE173+1.p, Sat
LCL/LCL661+1.020.p, Sat
LCL/LCL641+1.015.p, Sat
KRS/KRS236+1.p, Sat
PHI/PHI040+1.p, Sat
KRS/KRS061+1.p, Sat
SWB/SWB021+3.p, Sat
SYO/SYO796+1.p, Sat
NLP/NLP177+1.p, Sat
SYN/SYN513+1.p, Sat
GEO/GEO540+1.p, Sat
NLP/NLP052+1.p, Sat
GRP/GRP763+1.p, Sat
GEO/GEO158+1.p, Sat
SWW/SWW929+1.p, Sat
SWV/SWV485+1.p, Sat
GRA/GRA016+1.p, Sat
LCL/LCL683+1.015.p, Sat
SYO/SYO702+1.p, Sat
SYN/SYN540+1.p, Sat
SYN/SYN529+1.p, Sat
PLA/PLA040+1.p, Sat
SWV/SWV016+1.p, Sat
LCL/LCL677+1.005.p, Sat
MSC/MSC014+1.p, Sat
NLP/NLP032+1.p, Sat
SYN/SYN497+1.p, Sat
LCL/LCL657+1.015.p, Sat
LCL/LCL681+1.001.p, Sat
SYN/SYN514+1.p, Sat
SYO/SYO767+1.p, Sat
SYO/SYO593+1.p, Sat
NUM/NUM354+1.p, Sat
SYO/SYO722+1.p, Sat
LCL/LCL655+1.015.p, Sat
SYN/SYN518+1.p, Sat
LCL/LCL673+1.001.p, Sat
NLP/NLP059+1.p, Sat
NLP/NLP027+1.p, Sat
SWW/SWW897+1.p, Sat
SWW/SWW876+1.p, Sat
NLP/NLP120+1.p, Sat
GEO/GEO254+3.p, Sat
SYO/SYO718+1.p, Sat
LCL/LCL669+1.001.p, Sat
PHI/PHI017+1.p, Sat
LCL/LCL685+1.010.p, Sat
SWB/SWB035+1.p, Sat
HWV/HWV067+1.p, Sat
HWV/HWV071+1.p, Sat
SYO/SYO748+1.p, Sat
SYO/SYO641+1.p, Sat
SYO/SYO736+1.p, Sat
LCL/LCL647+1.010.p, Sat
RNG/RNG110+4.p, Sat
LCL/LCL661+1.015.p, Sat
PRD/PRD002+1.p, Sat
PHI/PHI020+1.p, Sat
SWW/SWW865+1.p, Sat
KRS/KRS037+1.p, Sat
PLA/PLA024+1.p, Sat
NLP/NLP073+1.p, Sat
SWW/SWW938+1.p, Sat
LCL/LCL659+1.020.p, Sat
SWB/SWB023+4.p, Sat
SYN/SYN547+1.p, Sat
LCL/LCL885+1.p, Sat
SYO/SYO726+1.p, Sat
NLP/NLP130+1.p, Sat
SYO/SYO822+1.p, Sat
SWW/SWW880+1.p, Sat
SYN/SYN520+1.p, Sat
LCL/LCL665+1.015.p, Sat
SYN/SYN414+1.p, Sat
SYN/SYN519+1.p, Sat
PHI/PHI016+1.p, Sat
PLA/PLA027+1.p, Sat
KRS/KRS023+1.p, Sat
HWV/HWV119+1.p, Sat
SWW/SWW905+1.p, Sat
NLP/NLP077+1.p, Sat
NLP/NLP091+1.p, Sat
