SCT/SCT111+1.p, no scope finishes in time range,3, v3si,482.55, Unsat, v4si,1200, TIMEOUT,,,110
GEO/GEO337+1.p, no scope finishes in time range,3, v3si,103.78, Unsat, v4si,104.73, Unsat,,,
GRP/GRP625+1.p, Unsat,5, v3si,461.52, Unsat, v4si,523.68, Unsat,,,
NUM/NUM563+1.p, no scope finishes in time range,9, v3si,403.02, Unsat, v4si,114.74, Unsat,,,
ALG/ALG129+1.p, Unsat,200, v3si,258.65, Unsat, v4si,180.28, Unsat,,,
SWW/SWW325+1.p, no scope finishes in time range,3, v3si,114.77, Unsat, v4si,103, Unsat,,,
LCL/LCL566+1.p, Unsat,7, v3si,458.13, Unsat, v4si,465.93, Unsat,,,
SEU/SEU353+2.p, no scope finishes in time range,7, v3si,170.08, Unsat, v4si,245.29, Unsat,,,
CSR/CSR115+63.p, Unsat,3, v3si,427.29, Unsat, v4si,337.46, Unsat,,,
SWC/SWC304+1.p, Unsat,7, v3si,527.85, Unsat, v4si,517.07, Unsat,,,
SEU/SEU447+3.p, no scope finishes in time range,0, v3si,1200, StackOverflowError, v4si,1200, StackOverflowError,,,
SET/SET658+3.p, Unsat,30, v3si,689.87, Unsat, v4si,650.43, Unsat,,,
LAT/LAT293+4.p, no scope finishes in time range,0, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
SEU/SEU313+1.p, no scope finishes in time range,9, v3si,1200, TIMEOUT, v4si,731.12, Unsat,,,
SEU/SEU450+2.p, no scope finishes in time range,3, v3si,107.48, Unsat, v4si,68.8, Unsat,,,
SET/SET578+3.p, Unsat,18, v3si,252.16, Unsat, v4si,460.32, Unsat,,,
REL/REL033+1.p, Unsat,11, v3si,452.19, Unsat, v4si,1146.37, Unsat,,,
NUN/NUN061+1.p, Unsat,9, v3si,896.96, Unsat, v4si,1041.72, Unsat,,,
CSR/CSR026+4.p, no scope finishes in time range,0, v3si,1200, TIMEOUT, v4si,921.39, Unsat,,,
CSR/CSR047+3.p, no scope finishes in time range,7, v3si,253.08, Unsat, v4si,143.11, Unsat,,,
SWV/SWV128+1.p, Unsat,5, v3si,763.51, Unsat, v4si,737.65, Unsat,,,
ALG/ALG060+1.p, Unsat,231, v3si,702.13, Unsat, v4si,188.27, Unsat,,,
SEU/SEU423+1.p, no scope finishes in time range,9, v3si,794.16, Unsat, v4si,122.09, Unsat,,,
GEO/GEO237+3.p, no scope finishes in time range,24, v3si,1200, TIMEOUT, v4si,85.58, Unsat,,,
ALG/ALG119+1.p, Unsat,200, v3si,263.16, Unsat, v4si,182.42, Unsat,,,
KLE/KLE010+1.p, Unsat,15, v3si,334.42, Unsat, v4si,399.22, Unsat,,,
LAT/LAT326+1.p, no scope finishes in time range,7, v3si,1200, TIMEOUT, v4si,369.02, Unsat,,,
SWB/SWB064+1.p, no scope finishes in time range,3, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
CSR/CSR070+4.p, no scope finishes in time range,0, v3si,1200, TIMEOUT, v4si,903.47, Unsat,,,
SCT/SCT153+1.p, no scope finishes in time range,3, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
SEU/SEU421+2.p, no scope finishes in time range,3, v3si,106.21, Unsat, v4si,67.88, Unsat,,,
GEO/GEO468+1.p, Unsat,1, v3si,814.95, Unsat, v4si,187.57, Unsat,,,
GEO/GEO179+2.p, Unsat,22, v3si,500.94, Unsat, v4si,287.48, Unsat,,,
KRS/KRS092+1.p, Unsat,261, v3si,291.21, Unsat, v4si,395.49, Unsat,,,
SWW/SWW472+6.p, no scope finishes in time range,3, v3si,8.84, Unsat, v4si,7.68, Unsat,,,
SWB/SWB016+1.p, no scope finishes in time range,3, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
SWB/SWB028+2.p, Unsat,9, v3si,1010.21, Unsat, v4si,1004.55, Unsat,,,
ALG/ALG158+1.p, Unsat,261, v3si,207.52, Unsat, v4si,357.01, Unsat,,,
SET/SET695+4.p, no scope finishes in time range,11, v3si,52.62, Unsat, v4si,18.17, Unsat,,,
ALG/ALG227+1.p, Unsat,22, v3si,350.17, Unsat, v4si,319.34, Unsat,,,
NUM/NUM344+1.p, no scope finishes in time range,3, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
TOP/TOP031+2.p, no scope finishes in time range,3, v3si,1200, TIMEOUT, v4si,409.15, Unsat,,,
SEU/SEU387+2.p, Unsat,6, v3si,758.61, Unsat, v4si,380.95, Unsat,,,
SEU/SEU190+1.p, Unsat,8, v3si,208.81, Unsat, v4si,462.26, Unsat,,,
SEU/SEU365+1.p, no scope finishes in time range,9, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
GEO/GEO637+1.p, no scope finishes in time range,0, v3si,1200, NONZEROCODE, v4si,1200, NONZEROCODE,,,
GRP/GRP634+2.p, no scope finishes in time range,3, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
NUM/NUM607+1.p, no scope finishes in time range,7, v3si,1200, TIMEOUT, v4si,136.78, Unsat,,,
NUM/NUM496+1.p, Unsat,14, v3si,405.9, Unsat, v4si,233.38, Unsat,,,
GEO/GEO443+1.p, no scope finishes in time range,1, v3si,1200, TIMEOUT, v4si,1200, TIMEOUT,,,
LCL/LCL644+1.020.p, no scope finishes in time range,1001, v3si,137.05, Unsat, v4si,137.8, Unsat,,,
NUM/NUM404+1.p, Unsat,30, v3si,704.22, Unsat, v4si,929.55, Unsat,,,
