SCT/SCT111+1.p, Unsat
GEO/GEO337+1.p, Unsat
GRP/GRP625+1.p, Unsat
NUM/NUM563+1.p, Unsat
ALG/ALG129+1.p, Unsat
SWW/SWW325+1.p, Unsat
LCL/LCL566+1.p, Unsat
SEU/SEU353+2.p, Unsat
CSR/CSR115+63.p, Unsat
SWC/SWC304+1.p, Unsat
SEU/SEU447+3.p, Unsat
SET/SET658+3.p, Unsat
LAT/LAT293+4.p, Unsat
SEU/SEU313+1.p, Unsat
SEU/SEU450+2.p, Unsat
SET/SET578+3.p, Unsat
REL/REL033+1.p, Unsat
NUN/NUN061+1.p, Unsat
CSR/CSR026+4.p, Unsat
CSR/CSR047+3.p, Unsat
SWV/SWV128+1.p, Unsat
ALG/ALG060+1.p, Unsat
SEU/SEU423+1.p, Unsat
GEO/GEO237+3.p, Unsat
ALG/ALG119+1.p, Unsat
KLE/KLE010+1.p, Unsat
LAT/LAT326+1.p, Unsat
SWB/SWB064+1.p, Unsat
CSR/CSR070+4.p, Unsat
SCT/SCT153+1.p, Unsat
CSR/CSR081+7.p, Unsat
SEU/SEU421+2.p, Unsat
GEO/GEO468+1.p, Unsat
GEO/GEO179+2.p, Unsat
KRS/KRS092+1.p, Unsat
SWW/SWW472+6.p, Unsat
SWB/SWB016+1.p, Unsat
SWB/SWB028+2.p, Unsat
CSR/CSR102+4.p, Unsat
ALG/ALG158+1.p, Unsat
SET/SET695+4.p, Unsat
ALG/ALG227+1.p, Unsat
NUM/NUM344+1.p, Unsat
TOP/TOP031+2.p, Unsat
SEU/SEU387+2.p, Unsat
SEU/SEU190+1.p, Unsat
SEU/SEU365+1.p, Unsat
GEO/GEO637+1.p, Unsat
GRP/GRP634+2.p, Unsat
CSR/CSR104+7.p, Unsat
NUM/NUM607+1.p, Unsat
NUM/NUM496+1.p, Unsat
GEO/GEO443+1.p, Unsat
LCL/LCL644+1.020.p, Unsat
NUM/NUM404+1.p, Unsat
CSR/CSR050+1.p, Unsat
CSR/CSR227+1.p, Unsat
SYN/SYN462+1.p, Unsat
SEU/SEU314+1.p, Unsat
SET/SET573+3.p, Unsat
RNG/RNG062+2.p, Unsat
SWC/SWC224+1.p, Unsat
LAT/LAT360+3.p, Unsat
NUM/NUM325+1.p, Unsat
SWW/SWW326+1.p, Unsat
GRP/GRP641+1.p, Unsat
LAT/LAT339+2.p, Unsat
GEO/GEO658+1.p, Unsat
SYN/SYN986+1.005.p, Unsat
SEU/SEU134+1.p, Unsat
SEU/SEU136+2.p, Unsat
SWV/SWV233+1.p, Unsat
GRP/GRP618+3.p, Unsat
GEO/GEO591+1.p, Unsat
